IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
11900.0,25713.0,4548.0,8.1,8.4,34.7,17.0,21.3,11.9,15.2,90.2,4.8,0.0,0.5,2.3,2.1,25.0,943,77.1,18.3,4.6,0.0,5.4
13538.0,18021.0,2474.0,25.5,40.3,22.3,24.7,21.5,9.4,22.0,86.3,13.1,0.0,0.0,0.7,0.0,23.4,753,77.0,16.9,6.1,0.0,13.3
5629.0,20689.0,2817.0,12.7,19.7,31.4,24.9,22.1,9.2,12.4,94.8,2.8,0.0,0.0,0.0,2.5,19.6,1373,64.1,23.6,12.3,0.0,6.2
7003.0,24125.0,2870.0,2.1,1.6,27.0,20.8,27.0,8.7,16.4,86.6,9.1,0.0,0.0,2.6,1.6,25.3,1782,75.7,21.2,3.1,0.0,10.8
6935.0,27526.0,2813.0,11.4,17.5,49.6,14.2,18.2,2.1,15.8,88.0,10.5,0.0,0.0,0.6,0.9,24.8,5037,67.1,27.6,5.3,0.0,4.2
9585.0,30480.0,7550.0,14.4,21.9,24.2,17.5,35.4,7.9,14.9,82.7,6.9,0.0,0.0,6.0,4.5,19.8,1560,79.4,14.7,5.8,0.0,10.9
7867.0,20442.0,3245.0,28.9,41.9,19.5,29.6,25.3,10.1,15.5,92.4,7.6,0.0,0.0,0.0,0.0,20.0,1166,82.0,14.6,3.4,0.0,11.4
2447.0,32813.0,4669.0,13.0,25.9,42.8,10.7,34.2,5.5,6.8,84.3,8.1,0.0,0.0,1.7,5.9,24.3,1502,78.1,14.8,7.1,0.0,8.2
8602.0,24028.0,2233.0,13.9,18.3,31.5,17.5,26.1,7.8,17.1,90.1,8.6,0.0,0.0,0.0,1.3,29.4,4348,73.3,22.1,4.6,0.0,8.7
7857.0,24710.0,4149.0,6.8,10.0,29.3,13.7,17.7,11.0,28.3,88.7,7.9,0.0,0.0,1.2,2.1,32.9,2485,77.9,15.2,6.9,0.0,7.2
6687.0,23290.0,3716.0,12.8,17.8,26.8,10.1,25.0,21.9,16.2,82.0,9.0,1.3,6.3,0.7,0.7,31.5,1541,76.9,19.5,3.6,0.0,5.2
8377.0,20806.0,3360.0,19.3,23.8,20.4,17.6,27.2,14.0,20.9,79.2,13.4,0.3,1.3,3.2,2.6,32.6,1496,70.7,24.7,4.6,0.0,7.3
9096.0,19701.0,2584.0,17.0,12.8,33.4,17.9,15.2,15.8,17.6,94.6,4.2,0.4,0.0,0.0,0.8,34.5,1406,73.9,21.5,4.6,0.0,10.1
3980.0,18186.0,2805.0,28.8,50.7,19.8,21.2,26.1,9.7,23.1,89.9,7.4,0.2,0.6,0.0,1.9,30.3,1221,78.0,13.9,8.1,0.0,8.5
